fold,bin_idx,bin_left,bin_right,mean_norm_price
8,19,0.9500000000000001,1.0,0.338713849037396
8,20,1.0,1.05,0.4032586778193188
8,21,1.05,1.1,0.4346061681637347
8,22,1.1,1.1500000000000001,0.3316537219497369
8,23,1.1500000000000001,1.2000000000000002,0.23132512503355548
8,24,1.2000000000000002,1.25,0.18901955362959788
8,25,1.25,1.3,0.26133126348870456
8,26,1.3,1.35,0.4562414843378498
8,27,1.35,1.4000000000000001,0.4111431383187693
8,28,1.4000000000000001,1.4500000000000002,0.015976096204746555
8,29,1.4500000000000002,1.5,0.035902504912654336
9,0,0.0,0.05,0.6882427488333074
9,1,0.05,0.1,0.8602270903248133
9,2,0.1,0.15000000000000002,0.8136961325785993
9,3,0.15000000000000002,0.2,0.7696139682016326
9,4,0.2,0.25,0.7081407934632643
9,5,0.25,0.30000000000000004,0.5901629539294879
9,6,0.30000000000000004,0.35000000000000003,0.5458251462069407
9,7,0.35000000000000003,0.4,0.4743644456744763
9,8,0.4,0.45,0.40143354713221563
9,9,0.45,0.5,0.3826233615963591
9,10,0.5,0.55,0.27512775565928527
9,11,0.55,0.6000000000000001,0.2594787687946846
9,12,0.6000000000000001,0.65,0.24130253990370226
9,13,0.65,0.7000000000000001,0.21329192291541435
9,14,0.7000000000000001,0.75,0.23713659825645542
9,15,0.75,0.8,0.18915814326649
9,16,0.8,0.8500000000000001,0.2048087467460513
9,17,0.8500000000000001,0.9,0.19973217723528625
9,18,0.9,0.9500000000000001,0.3320059415954496
9,19,0.9500000000000001,1.0,0.36478667097401807
9,20,1.0,1.05,0.3905489845981702
9,21,1.05,1.1,0.4761038029014045
9,22,1.1,1.1500000000000001,0.35675111711509233
9,23,1.1500000000000001,1.2000000000000002,0.23132512503355548
9,24,1.2000000000000002,1.25,0.18901955362959788
9,25,1.25,1.3,0.26133126348870456
9,26,1.3,1.35,0.4562414843378498
9,27,1.35,1.4000000000000001,0.4111431383187693
9,28,1.4000000000000001,1.4500000000000002,0.015976096204746555
