fold,feat_a,feat_b,shap_corr,note
10,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.3298699654168748,
10,lga_phase_std,lga_phase_std_delta_3d,0.17854482926477017,
11,network_px_std,network_px_std_delta_3d,0.30209438659005333,
11,network_px_std,network_disc_gap,0.14274277062778085,
11,network_px_std,network_disc_gap_delta_3d,0.07983166305348828,
11,network_px_std,lga_phase_std,0.003958603682312824,
11,network_px_std,lga_phase_std_delta_3d,0.3577721066018561,
11,network_px_std_delta_3d,network_disc_gap,0.46298317845580905,
11,network_px_std_delta_3d,network_disc_gap_delta_3d,0.2940480503638142,
11,network_px_std_delta_3d,lga_phase_std,0.5498040740234852,
11,network_px_std_delta_3d,lga_phase_std_delta_3d,0.5238505062509251,
11,network_disc_gap,network_disc_gap_delta_3d,0.2829026666778195,
11,network_disc_gap,lga_phase_std,0.5603474131327644,
11,network_disc_gap,lga_phase_std_delta_3d,0.25050953076493593,
11,network_disc_gap_delta_3d,lga_phase_std,0.30370703712014124,
11,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.27208446521802443,
11,lga_phase_std,lga_phase_std_delta_3d,0.14597161130121664,
12,network_px_std,network_px_std_delta_3d,0.1438497564458654,
12,network_px_std,network_disc_gap,0.16649015703863557,
12,network_px_std,network_disc_gap_delta_3d,0.10643524024678157,
12,network_px_std,lga_phase_std,0.23351625114157776,
12,network_px_std,lga_phase_std_delta_3d,0.19222621526859218,
12,network_px_std_delta_3d,network_disc_gap,0.2574462010432446,
12,network_px_std_delta_3d,network_disc_gap_delta_3d,0.3300152992984554,
12,network_px_std_delta_3d,lga_phase_std,0.4238010209567291,
12,network_px_std_delta_3d,lga_phase_std_delta_3d,0.5643030328382064,
12,network_disc_gap,network_disc_gap_delta_3d,0.2593633656303676,
12,network_disc_gap,lga_phase_std,0.4580525356673048,
12,network_disc_gap,lga_phase_std_delta_3d,0.16741523031114705,
12,network_disc_gap_delta_3d,lga_phase_std,0.20304225252210042,
12,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.1668588155451438,
12,lga_phase_std,lga_phase_std_delta_3d,0.27163030999342375,
13,network_px_std,network_px_std_delta_3d,0.5120152092270314,
13,network_px_std,network_disc_gap,0.12184958600960322,
13,network_px_std,network_disc_gap_delta_3d,0.18139866362382118,
13,network_px_std,lga_phase_std,0.024091260353759733,
13,network_px_std,lga_phase_std_delta_3d,0.3066601634745892,
13,network_px_std_delta_3d,network_disc_gap,0.342219021430816,
13,network_px_std_delta_3d,network_disc_gap_delta_3d,0.28582266104176896,
13,network_px_std_delta_3d,lga_phase_std,0.2599974162667186,
13,network_px_std_delta_3d,lga_phase_std_delta_3d,0.45765283833857023,
13,network_disc_gap,network_disc_gap_delta_3d,0.08049802573918176,
13,network_disc_gap,lga_phase_std,0.4619949633490768,
13,network_disc_gap,lga_phase_std_delta_3d,0.37690787559226824,
13,network_disc_gap_delta_3d,lga_phase_std,0.14583611565720705,
13,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.2835753618365336,
13,lga_phase_std,lga_phase_std_delta_3d,0.3205862234846912,
14,network_px_std,network_px_std_delta_3d,0.43371610654778825,
14,network_px_std,network_disc_gap,0.06436662298475132,
14,network_px_std,network_disc_gap_delta_3d,0.1855123862705804,
14,network_px_std,lga_phase_std,0.19342336597570434,
14,network_px_std,lga_phase_std_delta_3d,0.2052861793412896,
14,network_px_std_delta_3d,network_disc_gap,0.4396529771636036,
14,network_px_std_delta_3d,network_disc_gap_delta_3d,0.3866271148382714,
14,network_px_std_delta_3d,lga_phase_std,0.5188858334127716,
14,network_px_std_delta_3d,lga_phase_std_delta_3d,0.42800709670677317,
14,network_disc_gap,network_disc_gap_delta_3d,0.4122473683277919,
14,network_disc_gap,lga_phase_std,0.5267178553151719,
14,network_disc_gap,lga_phase_std_delta_3d,0.3518202121198508,
14,network_disc_gap_delta_3d,lga_phase_std,0.2509652781113786,
14,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.23571523191620292,
14,lga_phase_std,lga_phase_std_delta_3d,0.26268391239844646,
