station_code,name,address,suburb,postcode,brand,fuel_code,price,date
2008,Liberty Casino,"84 Centre St, Casino NSW 2470",Casino,2470,Liberty,DL,249.9,2026-05-06
2008,Liberty Casino,"84 Centre St, Casino NSW 2470",Casino,2470,Liberty,P98,207.9,2026-05-06
2008,Liberty Casino,"84 Centre St, Casino NSW 2470",Casino,2470,Liberty,U91,183.9,2026-05-06
2009,Liberty Casino,"58-60 Hare Street, Casino NSW 2470",Casino,2470,Liberty,DL,249.9,2026-05-06
2009,Liberty Casino,"58-60 Hare Street, Casino NSW 2470",Casino,2470,Liberty,P98,207.9,2026-05-06
2009,Liberty Casino,"58-60 Hare Street, Casino NSW 2470",Casino,2470,Liberty,U91,183.9,2026-05-06
2010,Liberty Boambee,"752 Pacific Highway, Boambee NSW 2450",Boambee,2450,Liberty,DL,249.9,2026-05-06
2010,Liberty Boambee,"752 Pacific Highway, Boambee NSW 2450",Boambee,2450,Liberty,P95,209.9,2026-05-06
2010,Liberty Boambee,"752 Pacific Highway, Boambee NSW 2450",Boambee,2450,Liberty,U91,197.9,2026-05-06
2011,Liberty Moorland,"99 Jericho Road, Moorland NSW 2443",Moorland,2443,Liberty,DL,249.9,2026-05-06
2011,Liberty Moorland,"99 Jericho Road, Moorland NSW 2443",Moorland,2443,Liberty,P95,191.9,2026-05-06
2011,Liberty Moorland,"99 Jericho Road, Moorland NSW 2443",Moorland,2443,Liberty,U91,179.9,2026-05-06
2012,Liberty South Lismore,"19-21 Kyogle Street, South Lismore NSW 2480",South Lismore,2480,Liberty,DL,249.9,2026-05-06
2012,Liberty South Lismore,"19-21 Kyogle Street, South Lismore NSW 2480",South Lismore,2480,Liberty,U91,189.9,2026-05-06
2015,Caltex Uki,"1466 Kyogle Rd, Uki NSW 2484",Uki,2484,Caltex,DL,270.0,2026-05-06
2015,Caltex Uki,"1466 Kyogle Rd, Uki NSW 2484",Uki,2484,Caltex,U91,220.0,2026-05-06
2017,Ampol Foodary Jindabyne,"6 Kosciuszko rd, Jindabyne NSW 2627",Jindabyne,2627,Ampol Foodary,P95,233.9,2026-05-06
2017,Ampol Foodary Jindabyne,"6 Kosciuszko rd, Jindabyne NSW 2627",Jindabyne,2627,Ampol Foodary,P98,243.9,2026-05-06
2017,Ampol Foodary Jindabyne,"6 Kosciuszko rd, Jindabyne NSW 2627",Jindabyne,2627,Ampol Foodary,PDL,278.9,2026-05-06
2017,Ampol Foodary Jindabyne,"6 Kosciuszko rd, Jindabyne NSW 2627",Jindabyne,2627,Ampol Foodary,U91,216.9,2026-05-06
2022,Caltex Horsley Park,"1766 Horsley Drive, Horsley Park NSW 2175",Horsley Park,2175,Caltex,DL,249.9,2026-05-06
2022,Caltex Horsley Park,"1766 Horsley Drive, Horsley Park NSW 2175",Horsley Park,2175,Caltex,E10,179.9,2026-05-06
2022,Caltex Horsley Park,"1766 Horsley Drive, Horsley Park NSW 2175",Horsley Park,2175,Caltex,P98,214.9,2026-05-06
2022,Caltex Horsley Park,"1766 Horsley Drive, Horsley Park NSW 2175",Horsley Park,2175,Caltex,PDL,252.9,2026-05-06
2022,Caltex Horsley Park,"1766 Horsley Drive, Horsley Park NSW 2175",Horsley Park,2175,Caltex,U91,186.9,2026-05-06
2023,Shell Crabbes Creek,"24-28 Crabbes Creek, Crabbes Creek NSW 2483",Crabbes Creek,2483,Shell,DL,258.9,2026-05-06
2023,Shell Crabbes Creek,"24-28 Crabbes Creek, Crabbes Creek NSW 2483",Crabbes Creek,2483,Shell,P95,227.9,2026-05-06
2023,Shell Crabbes Creek,"24-28 Crabbes Creek, Crabbes Creek NSW 2483",Crabbes Creek,2483,Shell,U91,212.9,2026-05-06
2024,Speedway Woodpark,"32-36 Woodpark Rd, WOODPARK NSW 2164",Woodpark,2164,Speedway,DL,229.9,2026-05-06
2024,Speedway Woodpark,"32-36 Woodpark Rd, WOODPARK NSW 2164",Woodpark,2164,Speedway,E10,176.9,2026-05-06
2024,Speedway Woodpark,"32-36 Woodpark Rd, WOODPARK NSW 2164",Woodpark,2164,Speedway,P98,199.9,2026-05-06
2024,Speedway Woodpark,"32-36 Woodpark Rd, WOODPARK NSW 2164",Woodpark,2164,Speedway,U91,179.9,2026-05-06
2025,Ampol Foodary Mcdougalls Hill,"4949 New England Hwy, McDougalls Hill NSW 2330",Mcdougalls Hill,2330,Ampol Foodary,DL,246.9,2026-05-06
2025,Ampol Foodary Mcdougalls Hill,"4949 New England Hwy, McDougalls Hill NSW 2330",Mcdougalls Hill,2330,Ampol Foodary,E10,184.9,2026-05-06
2025,Ampol Foodary Mcdougalls Hill,"4949 New England Hwy, McDougalls Hill NSW 2330",Mcdougalls Hill,2330,Ampol Foodary,P95,203.9,2026-05-06
2025,Ampol Foodary Mcdougalls Hill,"4949 New England Hwy, McDougalls Hill NSW 2330",Mcdougalls Hill,2330,Ampol Foodary,P98,213.9,2026-05-06
2025,Ampol Foodary Mcdougalls Hill,"4949 New England Hwy, McDougalls Hill NSW 2330",Mcdougalls Hill,2330,Ampol Foodary,PDL,249.9,2026-05-06
2025,Ampol Foodary Mcdougalls Hill,"4949 New England Hwy, McDougalls Hill NSW 2330",Mcdougalls Hill,2330,Ampol Foodary,U91,186.9,2026-05-06
2026,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",Haberfield,2045,Speedway,DL,234.7,2026-05-06
2026,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",Haberfield,2045,Speedway,E10,174.7,2026-05-06
2026,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",Haberfield,2045,Speedway,LPG,119.9,2026-05-06
2026,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",Haberfield,2045,Speedway,P98,199.7,2026-05-06
2026,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",Haberfield,2045,Speedway,PDL,237.7,2026-05-06
2026,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",Haberfield,2045,Speedway,U91,176.7,2026-05-06
2037,BP Prestons,"14- Bernera Road, Prestons NSW 2170",Prestons,2170,BP,E10,184.9,2026-05-06
2037,BP Prestons,"14- Bernera Road, Prestons NSW 2170",Prestons,2170,BP,P95,204.9,2026-05-06
2037,BP Prestons,"14- Bernera Road, Prestons NSW 2170",Prestons,2170,BP,P98,214.9,2026-05-06
2037,BP Prestons,"14- Bernera Road, Prestons NSW 2170",Prestons,2170,BP,PDL,246.9,2026-05-06
2037,BP Prestons,"14- Bernera Road, Prestons NSW 2170",Prestons,2170,BP,U91,186.9,2026-05-06
2041,Liberty Lismore,"113 Union st, Lismore NSW 2480",Lismore,2480,Liberty,DL,244.9,2026-05-06
2041,Liberty Lismore,"113 Union st, Lismore NSW 2480",Lismore,2480,Liberty,P98,205.9,2026-05-06
2041,Liberty Lismore,"113 Union st, Lismore NSW 2480",Lismore,2480,Liberty,U91,189.9,2026-05-06
