station_code,name,address,suburb,postcode,brand,price,date
20596,OTR Casula Inbound,"629 HUME HWY, CASULA NSW 2170",CASULA,2170,Shell,181.9,2026-04-26
20597,Mobil Bomaderry,"33 BOLONG RD, BOMADERRY NSW 2541",BOMADERRY,2541,Mobil,176.7,2026-04-26
20601,OTR Kooragang,"130 CORMORANT RD, KOORAGANG NSW 2304",KOORAGANG,2304,Shell,181.9,2026-04-26
20607,Astron Taree Depot,"85 MULDOON ST, TAREE NSW 2430",TAREE,2430,ASTRON,183.9,2026-04-26
20608,Mobil Kalander St Nowra,"MOBIL SERVICE STATION 112 KALANDAR ST, NOWRA NSW 2541",NOWRA,2541,Mobil,176.7,2026-04-26
20619,Pearl Energy Picton,"425 ARGYLE ST, PICTON NSW 2571",PICTON,2571,Pearl Energy,179.5,2026-04-26
20620,TANILBA BAY SERVO,"1063 LEMON TREE PASSAGE RD, TANILBA BAY NSW 2319",TANILBA BAY,2319,Independent,180.5,2026-04-26
20621,BP Somersby Truck Stop,"51 SMITHS RD, SOMERSBY NSW 2250",SOMERSBY,2250,BP,187.9,2026-04-26
20622,Pearl Energy Long Jetty,"431 THE ENTRANCE ROAD, LONG JETTY NSW 2261",LONG JETTY,2261,Pearl Energy,176.5,2026-04-26
20623,OTR Corrimal,"269-273 PRINCES HWY, CORRIMAL NSW 2518",CORRIMAL,2518,Shell,176.9,2026-04-26
20625,OTR Ropes Crossing,"306 WIANAMATTA PWY, ROPES CROSSING NSW 2760",ROPES CROSSING,2760,Shell,176.9,2026-04-26
20626,OTR Kirrawee,"470 PRINCES HWY, GYMEA NSW 2227",GYMEA,2227,Shell,176.9,2026-04-26
20627,Metro Werrington,"569 GREAT WESTERN HWY, WERRINGTON NSW 2747",WERRINGTON,2747,Metro Fuel,179.5,2026-04-26
20630,OTR Pennant Hills West,"386 PENNANT HILLS RD, PENNANT HILLS NSW 2120",PENNANT HILLS,2120,Shell,176.9,2026-04-26
20631,Metro Revesby,"6 DOYLE RD, REVESBY NSW 2212",REVESBY,2212,Metro Fuel,177.9,2026-04-26
20632,Budget Bexley South,"474 FOREST RD, BEXLEY NSW 2207",BEXLEY,2207,Budget,175.5,2026-04-26
20633,OTR Waterloo,"867-869 SOUTH DOWLING ST, WATERLOO NSW 2017",WATERLOO,2017,Shell,176.9,2026-04-26
20634,OTR Nowra Kinghorne Street,"73 KINGHORNE ST, NOWRA NSW 2541",NOWRA,2541,Shell,181.9,2026-04-26
20636,LIBERTY BOGGABILLA,33351 NEWELL HWY BOGGABILLA NSW 2409,,2409,Liberty,145.9,2026-04-26
20638,OTR Blacktown,"132 SUNNYHOLT RD, BLACKTOWN NSW 2148",BLACKTOWN,2148,Shell,176.9,2026-04-26
20640,Astron Michelago,"1 RYRIE ST, MICHELAGO NSW 2620",MICHELAGO,2620,ASTRON,198.9,2026-04-26
