fold,regime,val_start,val_end,val_rows,n_lated,run,n_features,seed,ll_all,ll_hard25,ll_hard10,ll_lated,fit_s
4,shock,2022-08-02,2022-10-30,58317,6428,RA_level,51,44,0.38951645250820105,1.074964810336645,1.5607999507193993,0.5906965203389197,2.6321181250095833
4,shock,2022-08-02,2022-10-30,58317,6428,RA_level,51,45,0.41107131389719676,1.1063587241458035,1.5971494965994055,0.6074394827539696,2.7402514590066858
4,shock,2022-08-02,2022-10-30,58317,6428,RA_level,51,46,0.3926995342839477,1.073353520245878,1.5937264410555882,0.5621479464447453,2.6793298330012476
4,shock,2022-08-02,2022-10-30,58317,6428,RA_delta,51,42,0.41653984570481295,1.2294607165168525,1.9334003793699515,0.580194226018993,2.7030801250075456
4,shock,2022-08-02,2022-10-30,58317,6428,RA_delta,51,43,0.4102656053996811,1.1772905265925928,1.8175817768837315,0.5478312129091651,2.686900833999971
4,shock,2022-08-02,2022-10-30,58317,6428,RA_delta,51,44,0.40630914516173755,1.2139312876219879,1.9013617823917717,0.5728509979259055,2.6818988750019344
4,shock,2022-08-02,2022-10-30,58317,6428,RA_delta,51,45,0.43965125289812246,1.2778696801674014,1.9750626487370582,0.5929244765702709,2.760892749996856
4,shock,2022-08-02,2022-10-30,58317,6428,RA_delta,51,46,0.44255801674215356,1.2816713906109456,1.9211325654777849,0.614960388890585,2.709234750000178
4,shock,2022-08-02,2022-10-30,58317,6428,RA_both,52,42,0.42502785468694476,1.1475879881145903,1.6731487664408242,0.5921969129207028,2.706946042002528
4,shock,2022-08-02,2022-10-30,58317,6428,RA_both,52,43,0.4131723277416139,1.128331183137761,1.6248817905816972,0.6011535221938021,2.7401957499969285
4,shock,2022-08-02,2022-10-30,58317,6428,RA_both,52,44,0.44313365703251906,1.24826096449884,1.863863436255557,0.625887455711964,2.729123917000834
4,shock,2022-08-02,2022-10-30,58317,6428,RA_both,52,45,0.4050634029165932,1.1214116689511684,1.6796098101756676,0.5609179719056833,2.717958583001746
4,shock,2022-08-02,2022-10-30,58317,6428,RA_both,52,46,0.4403781978026902,1.216102070941114,1.8767995394116452,0.5888161031022705,2.7078689170011785
4,shock,2022-08-02,2022-10-30,58317,6428,RAC_full,54,42,0.3977846027865283,1.084016888244992,1.5823921381920028,0.58255175050098,2.8394842499983497
4,shock,2022-08-02,2022-10-30,58317,6428,RAC_full,54,43,0.4116234786262582,1.1852565228714096,1.7844218416605884,0.5857377787718586,2.90648604099988
4,shock,2022-08-02,2022-10-30,58317,6428,RAC_full,54,44,0.409858188035623,1.1777733634691558,1.7341638741249987,0.573236075568481,2.9035795420059003
4,shock,2022-08-02,2022-10-30,58317,6428,RAC_full,54,45,0.40815869811463173,1.1479039927207095,1.663137775868792,0.5734467970442158,2.8844334999885177
4,shock,2022-08-02,2022-10-30,58317,6428,RAC_full,54,46,0.3965612417400455,1.154824800015043,1.7777604303997299,0.5680923490390732,5.695952499998384
5,normal,2022-10-31,2023-01-28,57613,7815,R0,50,42,0.2939803554108413,0.9772454277802225,1.5613623911075942,0.5141666320309805,3.739387709007133
5,normal,2022-10-31,2023-01-28,57613,7815,R0,50,43,0.29948893288603495,0.9610546834347568,1.5225604862105029,0.5510913416281835,3.4298682499938877
5,normal,2022-10-31,2023-01-28,57613,7815,R0,50,44,0.31552008735996423,1.02612619813394,1.6622565694030491,0.5486276791279988,3.0913002919987775
5,normal,2022-10-31,2023-01-28,57613,7815,R0,50,45,0.27494187376651397,0.8903628586881172,1.3580065180347987,0.5101195182212395,3.105002542011789
5,normal,2022-10-31,2023-01-28,57613,7815,R0,50,46,0.287450536985236,0.9400350625674865,1.4595786565699715,0.5357285134518485,3.4260431659931783
5,normal,2022-10-31,2023-01-28,57613,7815,RA_level,51,42,0.28647839515312556,0.8690577377206989,1.2863327986356015,0.5325258499536021,3.073878708004486
5,normal,2022-10-31,2023-01-28,57613,7815,RA_level,51,43,0.2758068342172856,0.8662518762515886,1.315814339517062,0.512952335173666,3.1338727090042084
5,normal,2022-10-31,2023-01-28,57613,7815,RA_level,51,44,0.27523898094447863,0.8536705999822659,1.2335723733198918,0.5094153633078832,2.9342639579990646
5,normal,2022-10-31,2023-01-28,57613,7815,RA_level,51,45,0.2871394931937905,0.9031381481475885,1.3581840873057927,0.5484321039427029,3.058738000006997
5,normal,2022-10-31,2023-01-28,57613,7815,RA_level,51,46,0.27075371425863004,0.8380439051961697,1.2056352978500142,0.534154945257497,3.112488916987786
5,normal,2022-10-31,2023-01-28,57613,7815,RA_delta,51,42,0.267166126236589,0.8230242527051551,1.2435505865629524,0.46562572919280676,3.058188833994791
5,normal,2022-10-31,2023-01-28,57613,7815,RA_delta,51,43,0.3862922649611541,0.9237958223872931,1.446241371622595,0.5346131138533142,3.2289647919969866
5,normal,2022-10-31,2023-01-28,57613,7815,RA_delta,51,44,0.2745971121266394,0.8906515762820281,1.3583723849129798,0.5104190621633934,2.9627192500047386
5,normal,2022-10-31,2023-01-28,57613,7815,RA_delta,51,45,0.25841081061478094,0.824177934863926,1.2559649899640009,0.469940020695414,2.9111137080035405
5,normal,2022-10-31,2023-01-28,57613,7815,RA_delta,51,46,0.2741139566242387,0.8899267165152392,1.3928467577214891,0.5062465597867513,3.1772530829912284
5,normal,2022-10-31,2023-01-28,57613,7815,RA_both,52,42,0.2567951667696752,0.797070391879047,1.1667679629227605,0.4773912791022079,3.595152291993145
5,normal,2022-10-31,2023-01-28,57613,7815,RA_both,52,43,0.2538780621891883,0.7852301654472036,1.139324230356391,0.4889048545284775,2.944005042008939
5,normal,2022-10-31,2023-01-28,57613,7815,RA_both,52,44,0.29390067257628644,0.8895966459132709,1.3380371721142443,0.49243882543680134,3.010160582998651
5,normal,2022-10-31,2023-01-28,57613,7815,RA_both,52,45,0.2699423843835554,0.8501537629743299,1.2523082718581058,0.5097861013050381,2.969293583999388
5,normal,2022-10-31,2023-01-28,57613,7815,RA_both,52,46,0.259544118199549,0.8186696014683859,1.219501687962439,0.47038712853171655,2.946267542007263
5,normal,2022-10-31,2023-01-28,57613,7815,RAC_full,54,42,0.24968226088340198,0.7692426395932681,1.116152252828407,0.4503136130606294,3.0890512079931796
