cadence,tau,fold,val_start,val_end,model_cpl,n_fills
1,0.1,10,2024-01-24,2024-04-22,204.01136363636377,150
1,0.1,11,2024-04-23,2024-07-21,204.7902325581397,194
1,0.1,12,2024-07-22,2024-10-19,185.29875000000015,228
1,0.1,13,2024-10-20,2025-01-17,185.96833333333348,180
1,0.1,14,2025-01-18,2025-04-17,189.1607966457025,198
1,0.15,1,2021-11-05,2022-02-02,167.72687927107074,203
1,0.15,2,2022-02-03,2022-05-03,177.33023255813978,235
1,0.15,3,2022-05-04,2022-08-01,195.13041666666692,223
1,0.15,4,2022-08-02,2022-10-30,174.47892473118304,276
1,0.15,5,2022-10-31,2023-01-28,187.5951781970653,239
1,0.15,6,2023-01-29,2023-04-28,188.86446808510655,163
1,0.15,7,2023-04-29,2023-07-27,178.967741935484,263
1,0.15,8,2023-07-28,2023-10-25,199.74560669456068,108
1,0.15,9,2023-10-26,2024-01-23,196.44405010438422,123
1,0.15,10,2024-01-24,2024-04-22,203.83136363636368,129
1,0.15,11,2024-04-23,2024-07-21,204.33209302325594,183
1,0.15,12,2024-07-22,2024-10-19,184.24333333333345,206
1,0.15,13,2024-10-20,2025-01-17,185.8891666666668,164
1,0.15,14,2025-01-18,2025-04-17,188.40230607966475,188
1,0.2,1,2021-11-05,2022-02-02,167.64617169373565,191
1,0.2,2,2022-02-03,2022-05-03,177.04615384615408,218
1,0.2,3,2022-05-04,2022-08-01,194.57000000000025,202
1,0.2,4,2022-08-02,2022-10-30,174.12332613390947,245
1,0.2,5,2022-10-31,2023-01-28,187.23052631578975,207
1,0.2,6,2023-01-29,2023-04-28,188.66326963906593,140
1,0.2,7,2023-04-29,2023-07-27,178.67188940092177,240
1,0.2,8,2023-07-28,2023-10-25,199.6652719665272,97
1,0.2,9,2023-10-26,2024-01-23,196.27870563674327,115
1,0.2,10,2024-01-24,2024-04-22,203.64545454545458,106
1,0.2,11,2024-04-23,2024-07-21,203.279069767442,165
1,0.2,12,2024-07-22,2024-10-19,184.00173160173173,189
1,0.2,13,2024-10-20,2025-01-17,185.83250000000007,152
1,0.2,14,2025-01-18,2025-04-17,187.99140461215947,174
1,0.25,1,2021-11-05,2022-02-02,167.42343387471013,190
1,0.25,2,2022-02-03,2022-05-03,176.6747300215985,200
1,0.25,3,2022-05-04,2022-08-01,195.01125000000016,191
1,0.25,4,2022-08-02,2022-10-30,173.79762419006497,239
1,0.25,5,2022-10-31,2023-01-28,186.78187633262283,185
1,0.25,6,2023-01-29,2023-04-28,188.66413043478272,135
1,0.25,7,2023-04-29,2023-07-27,178.5820276497697,235
1,0.25,8,2023-07-28,2023-10-25,199.6966173361522,88
1,0.25,9,2023-10-26,2024-01-23,196.06617954070984,112
1,0.25,10,2024-01-24,2024-04-22,203.90272727272728,96
1,0.25,11,2024-04-23,2024-07-21,203.0813953488373,161
1,0.25,12,2024-07-22,2024-10-19,183.87835497835508,185
1,0.25,13,2024-10-20,2025-01-17,187.06791666666675,146
1,0.25,14,2025-01-18,2025-04-17,187.9930817610064,169
1,0.3,1,2021-11-05,2022-02-02,167.42343387471013,189
1,0.3,2,2022-02-03,2022-05-03,176.41490280777558,191
1,0.3,3,2022-05-04,2022-08-01,195.08583333333354,174
1,0.3,4,2022-08-02,2022-10-30,173.08758029978603,221
1,0.3,5,2022-10-31,2023-01-28,186.57206823027732,161
1,0.3,6,2023-01-29,2023-04-28,188.73674832962146,127
1,0.3,7,2023-04-29,2023-07-27,178.46221198156695,227
1,0.3,8,2023-07-28,2023-10-25,200.6575371549893,87
1,0.3,9,2023-10-26,2024-01-23,196.0745302713988,111
1,0.3,10,2024-01-24,2024-04-22,204.28818181818178,95
1,0.3,11,2024-04-23,2024-07-21,203.25172413793112,156
1,0.3,12,2024-07-22,2024-10-19,183.3285714285715,177
1,0.3,13,2024-10-20,2025-01-17,187.00958333333344,144
1,0.3,14,2025-01-18,2025-04-17,187.94025157232713,161
1,0.35,1,2021-11-05,2022-02-02,167.42482598607904,187
1,0.35,2,2022-02-03,2022-05-03,176.3616052060739,175
1,0.35,3,2022-05-04,2022-08-01,195.45875000000018,158
1,0.35,4,2022-08-02,2022-10-30,172.82489270386282,215
1,0.35,5,2022-10-31,2023-01-28,186.09316239316254,147
1,0.35,6,2023-01-29,2023-04-28,188.5384269662922,119
1,0.35,7,2023-04-29,2023-07-27,178.04838709677432,205
1,0.35,8,2023-07-28,2023-10-25,200.4970212765957,81
1,0.35,9,2023-10-26,2024-01-23,195.97849686847607,107
1,0.35,10,2024-01-24,2024-04-22,205.21681818181816,94
1,0.35,11,2024-04-23,2024-07-21,202.92528735632195,152
1,0.35,12,2024-07-22,2024-10-19,183.56297117516644,163
1,0.35,13,2024-10-20,2025-01-17,186.9258333333334,135
1,0.35,14,2025-01-18,2025-04-17,187.80314465408813,152
1,0.4,1,2021-11-05,2022-02-02,167.4134570765662,181
1,0.4,2,2022-02-03,2022-05-03,176.04444444444462,168
1,0.4,3,2022-05-04,2022-08-01,195.15666666666678,146
1,0.4,4,2022-08-02,2022-10-30,172.3313978494625,194
1,0.4,5,2022-10-31,2023-01-28,186.13125000000014,138
